ID, check_bal , num_inactive_mths , check_trans_average , num_check_acct , avg_check_bal_3mth , num_mth_since_max_bal , num_mth_since_max_neg_bal , mthly_change_in_neg_bal , mthly_change_in_pos_bal , max_bal , max_neg_bal , avg_num_active_acct_last_6_mth , avg_num_active_acct , avg_overdraft , avg_overdraft_last_6_mth , CC_wtdrw_last_3_mth , CC_wtdrw , saving_acct_bal_EOM , change_in_saving_bal_in_1mth , change_in_liquid_funds_in_1mth , liquid_funds_bal , age , CLV , Churn 
732, -      , -      ,12,3, -      ,5,12,-15, -      ,"1,156",338,4,2,266,202, -      , -      , -      , -      , -      , -      ,33,320,0
733,0, -      ,1,2,87,2,1,861,-261,261,"7,839",1,4, -      , -      , -      , -      , -      , -      , -      , -      ,55,443,0
734, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      ,642,197, -      , -      , -      , -      ,31,23,0
735, -      , -      ,1, -      , -      ,7,1, -      , -      ,"1,395","1,969",1,2, -      , -      ,"1,009",411, -      , -      , -      , -      ,52,75,0
736,"2,241", -      ,24,24,467,4,1,"2,691",-216,808,"2,864",5,7,"2,864",576,"10,158","1,238", -      , -      , -      , -      ,61,286,0
737,491, -      ,7,5,52,10,2,-109,51,138,204,4,4,68,127, -      , -      , -      , -      , -      , -      ,48,59,0
738, -      , -      , -      , -      , -      ,12,12, -      ,0,358,26,1,1, -      , -      , -      , -      , -      , -      ,0,23,21,28,0
739,18, -      ,3,2,117,3,12,"-1,662",-128,209,"76,185",2,3, -      ,5, -      , -      , -      , -      , -      , -      ,36,"1,838",0
740,280, -      ,13,16,283,10,1, -      ,"-2,249","49,784", -      ,5,4, -      , -      , -      , -      , -      , -      , -      , -      ,101,466,0
741,4, -      ,7,9,30,6,12,-178,-13,87,"6,942",5,7,58,15,907,291, -      , -      , -      , -      ,69,152,0
742,7, -      ,3,4,3,3,1, -      ,4,5, -      ,2,2, -      , -      ,555,193, -      , -      , -      , -      ,53,17,0
743,361, -      ,17,22,43,11,1,18,60,313,246,7,7,246,85,254,77, -      , -      , -      , -      ,49,24,0
744,236, -      ,2,2,17,3,1, -      ,-6,28, -      ,2,4, -      , -      ,848,289, -      , -      , -      , -      ,46,18,0
745, -      , -      ,1,6, -      ,1,1,"9,635", -      ,0,"9,635",1,5, -      , -      ,"9,153","-2,949", -      , -      , -      , -      ,57,"1,398",0
746, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,44, -      ,0
747,267, -      ,7,6,27,12,12,-428,6,92,"20,615",5,6,0,29, -      , -      , -      , -      , -      , -      ,67,568,0
748,433, -      ,26,4,42,10,1, -      ,-48,"111,272", -      ,3,3, -      , -      , -      , -      , -      , -      , -      , -      ,94,"1,441",0
749,3, -      ,4,3,3,3,4,-246,0,29,"4,784",5,7,17,4,"1,682",661, -      , -      , -      , -      ,54,568,0
750, -      , -      , -      , -      , -      ,12,12, -      ,-2,301,"1,208",1,1, -      , -      ,-7,-2,98,-2, -      , -      ,25,13,0
751,67, -      ,9,10,54,8,12,-367,"1,155","4,323","25,420",7,9,2,64,114,37,"1,387","1,156", -      , -      ,77,961,0
752,0, -      ,2,2,0,2,12,-93,0,1,"1,870",2,2, -      , -      , -      , -      , -      , -      , -      , -      ,15,274,0
753, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,"1,112",296, -      , -      , -      , -      ,29,56,0
754, -      , -      , -      , -      , -      ,1,1, -      , -      ,1,233,1,2, -      , -      ,769,256, -      , -      , -      , -      ,71,29,0
755,"2,055", -      ,1,1,327,1,1, -      ,342,574, -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,92,28,0
756, -      , -      , -      , -      , -      ,12,1, -      ,-28,"1,922", -      ,1,1, -      , -      ,7,3, -      , -      ,-28,"1,716",130,65,0
757,262, -      ,17,27,5,4,9,-23,8,62,"3,272",5,5,183,92, -      , -      , -      , -      , -      , -      ,23,149,0
758, -      , -      ,2,1,53,3,7,-45,-42,117,"1,627",4,5,40,7,"1,556",523, -      , -      , -      , -      ,39,383,0
759,"1,028", -      ,5,3,373,1,3,-57,520,819,598,4,3, -      ,94, -      , -      , -      , -      , -      , -      ,48,82,0
760,396, -      ,1,2,97,1,1, -      ,212,636, -      ,1,3, -      , -      , -      , -      , -      , -      , -      , -      ,21,5,0
761,491, -      ,4,4,33,5,12,-20,-25,110,"7,548",3,4, -      , -      ,46,46, -      , -      , -      , -      ,80, -      ,0
762,919, -      ,5, -      ,"1,028",9,1, -      ,-27,"1,588", -      ,3,3, -      , -      , -      , -      , -      , -      , -      , -      ,66,255,0
763, -      , -      , -      , -      , -      ,1,1, -      , -      ,10,"1,700",2,3, -      , -      ,"1,048",554, -      , -      , -      , -      ,93,155,0
764,212, -      ,4,6,62,9,1, -      ,-1,"2,016", -      ,2,3, -      , -      , -      , -      , -      , -      , -      , -      ,40,76,0
765,0, -      ,2,2,0,10,12,-102, -      ,0,"2,769",2,2, -      , -      , -      , -      , -      , -      , -      , -      ,22,494,0
766, -      , -      ,4,5, -      ,1,12,-375, -      , -      ,"14,816",3,4,744,750, -      , -      , -      , -      , -      , -      ,103,"2,085",0
767,"1,180", -      ,6,16,184,2,1, -      ,-58,282, -      ,2,3, -      , -      , -      , -      , -      , -      , -      , -      ,20,9,0
768,60, -      ,13,14,8,12,1,"2,914",16,103,"4,953",6,6,112,156, -      , -      , -      , -      , -      , -      ,34,669,0
769, -      , -      ,2, -      , -      ,12,11, -      , -      ,0,"1,593",2,1, -      , -      , -      , -      , -      , -      , -      , -      ,87,258,0
770, -      , -      ,3,5, -      ,12,12,-118, -      ,126,"1,863",3,3,13,103, -      , -      , -      , -      , -      , -      ,31,331,0
771,95, -      ,3,4,7,4,1, -      ,4,"2,607", -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,23,149,0
772,714, -      ,2,1,185,4,12, -      ,381,"2,921",0,2,2, -      ,0, -      , -      ,0,0, -      , -      ,38,214,0
773,"6,600", -      ,1, -      ,"5,812",1,1, -      ,91,"6,547", -      ,2,1, -      , -      , -      , -      , -      , -      , -      , -      ,119,423,0
774, -      , -      ,4,2,4,8,12,"-1,018", -      ,"6,152","37,517",2,2, -      ,145, -      , -      , -      , -      , -      , -      ,21,"1,340",0
775,263, -      ,29,33,248,12,1, -      ,-935,"26,270", -      ,5,5, -      , -      ,860,267, -      , -      ,-929,"2,692",140,102,0
776, -      ,1, -      , -      , -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,767,767, -      , -      , -      , -      ,83,212,0
777,"1,143", -      , -      , -      ,"1,147",12,1, -      ,-31,"1,325", -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,133,209,0
778,1, -      ,6,3,0,3,12,-76,0,163,"3,792",3,3, -      ,4,"1,855",451, -      , -      , -      , -      ,109,392,0
779, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,258,87, -      , -      , -      , -      ,31, -      ,0
780,360, -      ,2,2,13,5,1, -      ,36,"5,595", -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,92,112,0
781, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,"1,338",449, -      , -      , -      , -      ,61,42,0
782,3, -      ,2, -      ,31,3,12, -      ,0,113,1,4,4, -      , -      ,131,58, -      , -      , -      , -      ,30, -      ,0
783,598, -      ,4,5,93,11,2,0,140,700,0,3,3, -      ,0, -      , -      , -      , -      , -      , -      ,48,94,0
784,936, -      ,0,2,645,1,1, -      ,134,"1,198",17,2,3, -      , -      , -      , -      , -      , -      ,0,23,21,182,0
785, -      , -      ,2,2,0,3,12,-780, -      ,16,"36,267",1,2, -      , -      , -      , -      , -      , -      , -      , -      ,36,854,0
786, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,397,128, -      , -      , -      , -      ,59, -      ,0
787,0, -      ,5,6,0,10,9,-333,0,57,"2,995",3,4, -      ,25,460,214, -      , -      , -      , -      ,20,672,0
788, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,"3,188",869, -      , -      , -      , -      ,34,28,0
789,"3,948", -      ,23,23,"3,377",3,1, -      ,-458,"7,273", -      ,4,6, -      , -      ,-9,-3, -      , -      , -      , -      ,135,190,0
790,202, -      ,12,4,146,4,12, -      ,-31,"8,113","28,377",6,5, -      , -      , -      , -      , -      , -      , -      , -      ,43,449,0
791,96, -      ,5,13,12,12,1,14,20,160,14,2,3,14,2, -      , -      , -      , -      , -      , -      ,49,2,0
792, -      , -      ,5,5,1,9,12,-128, -      ,12,"3,534",4,4,39,18, -      , -      , -      , -      , -      , -      ,60,512,0
793,0, -      ,5,2,0,12,12,-86,0,138,"2,648",3,3, -      ,21, -      , -      , -      , -      , -      , -      ,29,440,0
794, -      , -      ,23,18,44,12,7,-844, -      ,"3,645","18,505",9,7,995,861,"2,705",813, -      , -      , -      , -      ,20,500,0
795, -      ,1,0, -      , -      ,9,1, -      , -      ,0,178,1,1, -      , -      ,-67,-21, -      , -      , -      , -      ,70,48,0
796,489, -      ,1,2,5,5,1, -      ,16,261, -      ,2,4, -      , -      ,"2,209",582, -      , -      , -      , -      ,12,443,0
797,1, -      ,2,2,0,12,12,-66,0,121,"1,960",3,2, -      , -      ,682,151, -      , -      , -      , -      ,18,476,0
798, -      , -      ,12,12, -      ,6,6,8, -      ,121,149,3,3,73,98, -      , -      , -      , -      , -      , -      ,190,37,0
799, -      , -      ,1, -      , -      ,12,11,-4, -      ,176,225,1,1,167,176, -      , -      , -      , -      , -      , -      ,25,120,0
800, -      , -      , -      , -      , -      ,10,12, -      , -      ,17,"3,130",2,3, -      , -      ,"1,056",436, -      , -      , -      , -      ,41,239,0
801,0, -      ,3,2,0,1,12,-83,0,160,"3,409",2,2, -      , -      ,79,1, -      , -      , -      , -      ,50,287,0
802, -      , -      , -      , -      , -      ,1,1, -      , -      ,0,"11,212",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,61, -      ,0
803,248, -      ,13,8,59,7,6,-51,19,288,"7,112",8,7, -      ,30, -      , -      , -      , -      ,17,26,86,620,0
804,"3,521", -      ,10,20,95,10,1, -      ,"-1,110","46,801", -      ,3,3, -      , -      , -      , -      , -      , -      ,"1,138","2,191",119,"1,470",0
805,39, -      ,4, -      ,211,5,1, -      ,16,"1,284", -      ,3,2, -      , -      , -      , -      , -      , -      , -      , -      ,27,39,0
806, -      , -      , -      , -      , -      ,11,1, -      , -      ,"2,296","12,754",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,33,14,0
807,10, -      ,1, -      ,10,12,12,2,0,15,"1,653",2,3,105,115,"1,336",497, -      , -      , -      , -      ,95,314,0
808,"1,771", -      ,1,1,112,5,1, -      ,336,"2,884", -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,92,22,0
809,"1,157", -      ,6,11,236,1,1, -      ,211,613,80,3,3, -      , -      , -      , -      , -      , -      , -      , -      ,48,22,0
810,183, -      ,2,5,50,1,1,392,39,94,455,1,4,455,86, -      , -      , -      , -      , -      , -      ,21,22,0
811, -      , -      ,0, -      , -      ,7,12, -      , -      ,45,"1,652",2,1, -      ,76,-1,0, -      , -      , -      , -      ,20,479,0
812,"7,896", -      ,20,9,580,5,9,-174,-847,"2,998","4,959",10,12,20,9,"3,879","2,441",329,9, -      , -      ,34,700,0
813,"10,368", -      ,31,32,"8,990",10,1, -      ,443,"15,819", -      ,7,11, -      , -      ,-7,-2,"6,302",308,-4,139,135,477,0
814, -      , -      ,6,3,14,7,6,32, -      ,45,"1,721",4,5,181,114, -      , -      , -      , -      , -      , -      ,26,476,0
815,0, -      ,6,8,3,2,1, -      ,-44,"210,190", -      ,1,2, -      , -      , -      , -      ,"244,074",-46,9,23,40,"1,347",0
816, -      , -      ,2,1,0,6,5,-100,0,0,751,3,3,38,46, -      , -      , -      , -      , -      , -      ,106,120,0
817, -      , -      , -      , -      , -      ,9,12, -      , -      ,807,"5,582",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,89,264,0
818,1, -      ,6,2,0,12,4,-277,0,66,"2,667",2,3, -      ,26, -      , -      , -      , -      , -      , -      ,49,565,0
819,108, -      ,3,7,11,7,11,-260,29,"1,327","5,233",4,3, -      ,122, -      , -      , -      , -      , -      , -      ,22,432,0
820,90, -      ,10,14,4,8,12,-406,10,448,"12,759",5,6,189,262,"4,088","1,097", -      , -      , -      , -      ,73,"3,105",0
821,"8,922", -      ,14,36,96,1,1,"8,760",288,288,"8,976",2,5,366,238, -      , -      , -      , -      , -      , -      ,37,327,0
822, -      , -      , -      , -      , -      ,1,1, -      , -      ,232,"6,748",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,85, -      ,0
823,19, -      ,4,3,11,1,12, -      ,947,"10,216","7,941",3,3, -      , -      , -      , -      , -      , -      ,942,"10,197",20,155,0
824, -      , -      ,2,6,0,11,8,-58, -      ,1,"1,097",2,2, -      , -      , -      , -      , -      , -      , -      , -      ,27,200,0
825,"1,150", -      ,11,11,372,8,8,238,977,"3,073","4,316",7,7, -      ,29,-11,-4, -      , -      , -      , -      ,18,393,0
826,16, -      , -      , -      ,20,7,12, -      ,-4,41,"3,831",2,1, -      , -      , -      , -      , -      , -      , -      , -      ,54,272,0
827,380, -      ,15,17,64,12,5,-29,162,289,116,4,4,31,54, -      , -      , -      , -      , -      , -      ,25,65,0
828,405, -      ,2,2,11,6,12,-416,15,85,"17,420",3,2, -      , -      , -      , -      , -      , -      , -      , -      ,31,"2,826",0
829,489, -      ,29,41,275,12,12,"-3,316",813,"7,161","107,060",8,12,192,209,"6,366","3,016", -      , -      ,564,566,38,"2,565",0
830,"1,482", -      ,2,7,392,1,1, -      ,636,906, -      ,1,3, -      , -      , -      , -      , -      , -      , -      , -      ,104,18,0
831,"7,445", -      ,13,14,"3,314",3,12,-306,"1,389","11,029","1,745",5,5, -      ,64,"1,280",453, -      , -      ,-205,779,71,638,0
832,15, -      , -      , -      ,15,12,1, -      ,-1,42, -      ,1,1, -      , -      , -      , -      , -      , -      ,0,23,58,4,0
833,"1,042", -      ,13,22,"1,002",5,1, -      ,-826,"2,104", -      ,3,3, -      , -      , -      , -      , -      , -      , -      , -      ,27,139,0
834, -      , -      ,9,1,1,2,12,-165,-3,207,"5,680",5,4,94,163,-7,-2, -      , -      , -      , -      ,126,688,0
835,1, -      ,2,2,0,6,12,-436,0,1,"11,224",3,3, -      , -      ,"2,249",714, -      , -      , -      , -      ,114,553,0
836,57, -      ,2,2,42,1,3,"-3,317",7,48,"58,244",1,2, -      , -      , -      , -      , -      , -      , -      , -      ,79,490,0
837, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      ,150,10, -      , -      , -      , -      ,105, -      ,0
838, -      , -      ,1,1, -      ,1,12,61, -      ,0,"1,236",3,2,174,124,"1,377",446, -      , -      , -      , -      ,30,246,0
839, -      , -      ,7,6,3,3,8,-3, -      ,16,703,3,3,603,553, -      , -      , -      , -      , -      , -      ,48,442,0
840, -      , -      , -      , -      , -      ,12,1, -      ,0,614, -      ,1,1, -      , -      , -      , -      , -      , -      ,0,23,21,37,0
841, -      , -      , -      , -      , -      ,10,1, -      ,0,19, -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,143,0,0
842,390, -      ,5,4,112,8,1, -      ,56,401, -      ,4,5, -      , -      , -      , -      ,0,0, -      , -      ,20,20,0
843, -      , -      , -      , -      , -      ,1,1, -      , -      ,48, -      ,1,2, -      , -      ,-261,-243, -      , -      , -      , -      ,26,4,0
844,404, -      ,1, -      ,418,11,1, -      ,-30,563, -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,53,150,0
845,0, -      ,1,2,0,1,1,184, -      ,0,"2,311",1,3, -      , -      , -      , -      , -      , -      , -      , -      ,132,93,0
846, -      , -      ,2,2, -      ,1,11,-7, -      ,0,59,2,2,7,26, -      , -      , -      , -      , -      , -      ,49,136,0
847,0, -      ,3,3,0,1,12,-82,0,1,"2,496",4,3, -      ,0,"3,656",669, -      , -      , -      , -      ,22,757,0
848,132, -      ,5,2,9,3,2,-153,4,335,"4,935",3,4, -      ,1,477,178, -      , -      , -      , -      ,60,"1,542",0
849,696, -      ,1,2,639,2,1, -      ,-279,797, -      ,1,3, -      , -      , -      , -      , -      , -      , -      , -      ,46,28,0
850,477, -      ,8,6,233,7,3,-299,-160,911,"8,693",5,5, -      , -      , -      , -      , -      , -      , -      , -      ,20,72,0
851, -      , -      ,0, -      , -      ,5,1, -      , -      ,83, -      ,1,1, -      , -      ,"5,190","1,324", -      , -      , -      , -      ,98,881,0
852,0, -      ,4,4,0,12,1, -      ,0,40,7,2,1, -      , -      , -      , -      , -      , -      , -      , -      ,25,0,0
853,"1,352", -      ,8,7,561,7,2,-256,-212,821,444,5,4, -      ,95, -      , -      , -      , -      , -      , -      ,41,109,0
854, -      , -      , -      , -      , -      ,10,1, -      ,-6,258, -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,161,18,0
855, -      , -      , -      , -      , -      ,11,12, -      , -      ,9,997,1,2, -      , -      ,822,398, -      , -      , -      , -      ,38,92,0
856,"1,158", -      ,25,23,546,11,1, -      ,127,"2,628", -      ,4,4, -      , -      ,696,263, -      , -      , -      , -      ,29,72,0
857,93, -      ,5,4,3,10,12,-16,3,46,"5,076",5,6,269,266,675,192, -      , -      , -      , -      ,86,383,0
858, -      , -      , -      , -      , -      ,12,12, -      , -      ,0,"1,527",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,35,66,0
859, -      , -      ,5,7, -      ,1,12,-379, -      ,13,"14,801",5,5,422,442,"4,702","1,480", -      , -      , -      , -      ,58,"1,742",0
860,89, -      ,20,17,1,11,12,"1,952",18,"1,414","36,994",9,11,752,748,"7,008","2,542",456,15, -      , -      ,27,"1,925",0
861, -      , -      ,10,1,22,10,7,-861,0,322,"1,563",4,3,80,63, -      , -      , -      , -      , -      , -      ,45,415,0
862, -      ,5, -      , -      , -      ,1,1, -      , -      , -      , -      ,0, -      , -      , -      ,-19,-7, -      , -      , -      , -      ,68, -      ,0
863,493, -      ,7,14,5,8,2,-4,16,646,"7,452",4,4, -      , -      ,328,108, -      , -      , -      , -      ,33,"1,313",0
864, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,28,27, -      , -      , -      , -      ,166, -      ,0
865, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,3, -      , -      ,"1,126","1,124", -      , -      , -      , -      ,31, -      ,0
866,"9,938", -      ,2,1,"9,201",3,1, -      ,"-2,339","10,108", -      ,3,2, -      , -      , -      , -      , -      , -      , -      , -      ,23,"1,001",0
867,568, -      ,5,5,73,12,3,11,-75,"2,354",28,3,5,11,7, -      , -      ,"1,603",-79, -      , -      ,39,71,0
868, -      , -      ,2,3,32,2,1,267,-95,95,"1,438",2,4,59,16, -      , -      , -      , -      , -      , -      ,30,139,0
869,347, -      ,1,2,65,1,5, -      ,193,316,39,2,4, -      ,18, -      , -      , -      , -      ,0,23,21,81,0
870,132, -      , -      , -      ,136,12,1, -      ,-7,"19,812", -      ,2,2, -      , -      ,"1,770",-104, -      , -      , -      , -      ,20,149,0
871, -      , -      ,6,14, -      ,1,7,3, -      , -      ,153,1,1,90,59, -      , -      , -      , -      , -      , -      ,26,18,0
872,3, -      ,4,2,0,12,11,-125,0,48,"2,739",7,6, -      ,9,"-1,131",-19, -      , -      ,0,23,63,335,0
873,379, -      ,16,13,108,12,12,-403,-405,"21,020","7,810",10,11,135,51,808,236,"14,835",-399, -      , -      ,49,"1,277",0
874,0, -      ,3,2,15,3,10,-202,0,225,"7,408",2,3, -      , -      , -      , -      , -      , -      , -      , -      ,22,"2,054",0
875,0, -      ,4,6, -      ,1,1,928,0,0,"2,200",4,4,23,64, -      , -      , -      , -      , -      , -      ,73,320,0
876, -      , -      ,18,17, -      ,9,2,-353,0,93,"7,973",7,8,238,249, -      , -      , -      , -      ,0,3,37,"1,144",0
877,70, -      ,8,12,2,8,12,-438,4,248,"5,615",6,5, -      ,167, -      , -      , -      , -      , -      , -      ,103,"1,094",0
878, -      , -      ,3, -      ,0,6,5,-272,0,0,"7,190",2,2, -      , -      , -      , -      , -      , -      , -      , -      ,29,956,0
879,669, -      ,5,4,20,10,4, -      ,15,347,1,3,2, -      ,0, -      , -      , -      , -      , -      , -      ,20,11,0
880,0, -      ,1,1,0,7,1, -      ,0,118,622,3,3, -      , -      ,"1,836",785, -      , -      , -      , -      ,44,60,0
881,494, -      ,9,12,216,1,12,143,69,325,"23,641",7,10,17,41,998,285, -      , -      ,0,23,112,660,0
882,0, -      ,3,2,0,6,12,-130,0,116,"3,559",3,4, -      , -      ,"1,171",413, -      , -      , -      , -      ,18,877,0
883,14, -      ,36,22,6,7,2,-89,-11,77,"3,278",6,6, -      ,349, -      , -      , -      , -      , -      , -      ,190,517,0
884,226, -      ,19,11,46,5,12,-40,-24,575,"1,759",7,6,169,108,477,69, -      , -      , -      , -      ,25,375,0
885,16, -      ,13,10,3,2,12,-40,-6,7,448,4,4,325,374,660,273, -      , -      , -      , -      ,77,490,0
886, -      , -      ,1,2, -      ,9,12,-275, -      ,461,"45,712",1, -      , -      , -      , -      , -      , -      , -      , -      , -      ,41,1,0
887, -      , -      ,5,2, -      ,1,12,-177, -      ,13,"4,841",5,5,309,300,"1,972",898, -      , -      , -      , -      ,31,"1,198",0
888, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,50, -      ,0
889, -      , -      ,5,2,20,3,12,59,-1,59,"1,645",4,5,146,122,"2,211",833, -      , -      , -      , -      ,23,476,0
890,"7,048", -      ,27,32,329,10,11,-255,"6,574","23,702","5,532",7,7,1,2, -      , -      , -      , -      , -      , -      ,145,"1,987",0
891,39, -      ,8,4,40,1,5,"-1,401",19,199,"5,652",7,8,2,15,783,253,117,21,0,23,29,"1,268",0
892, -      , -      ,0, -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,"3,379","1,727", -      , -      , -      , -      ,47, -      ,0
893,111, -      ,4,11,12,2,2,-34,-16,176,52,2,3,18,12,173,-28, -      , -      ,-9, -      ,21,69,0
894, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,377,111, -      , -      , -      , -      ,71,2,0
895, -      , -      ,3,5, -      ,1,12,-281, -      , -      ,"9,353",1,2, -      , -      , -      , -      , -      , -      , -      , -      ,100,144,0
896,8, -      ,13,9,1,11,11,-297,1,"3,194","5,329",4,4,270,303, -      , -      , -      , -      , -      , -      ,33,"1,036",0
897, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,"2,245",712, -      , -      , -      , -      ,190,82,0
898,21, -      ,0, -      ,"1,328",11,1, -      ,-1,"76,879", -      ,2,2, -      , -      , -      , -      , -      , -      ,0,23,65,"1,381",0
899,146, -      ,5,6,270,1,1, -      ,"1,838","38,169",3,2,3, -      , -      ,7,2,"37,082","2,453", -      , -      ,167,316,0
900, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,"2,567",853, -      , -      , -      , -      ,31, -      ,0
901, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      ,"1,443",460, -      , -      , -      , -      ,108, -      ,0
902, -      ,1,2, -      , -      ,10,8,-81, -      ,314,370,2, -      , -      ,243, -      , -      , -      , -      , -      , -      ,23,134,0
